num	t/b	strain	dE	RMS	PR	hyst
66	top	0.0029	0.0	0.00023978712528549152	0.22020507373234735	0.0047
66	bot	-0.0019	0.0	0.00024632577809210375	0.22066808861484857	0.0047
67	top	0.0034	0.0	2.3801944410308974e-05	0.3458482472733919	0.0004
67	bot	0.0029	0.0	3.5622703296900086e-05	0.3336018104967193	0.0004
68	top	0.0257	0.0	5.2431351733252936e-05	0.2856931984419619	0.0002
68	bot	0.0254	0.0	5.643146371228509e-05	0.2684312635981405	0.0002
69	top	0.0035	0.0	3.29114141377366e-05	0.299983368238357	0.0001
69	bot	0.0033	0.0	3.291141413773645e-05	0.29811473848504894	0.0001
70	top	0.0061	0.0	4.550814497776489e-05	0.3225656997699707	0.0006
70	bot	0.0054	0.0	6.80581437982728e-05	0.43484342328434417	0.0006
71	top	0.0517	0.0	0.0003455717455557547	0.3837157227913526	0.0121
71	bot	0.0395	0.0	0.0002728574994292361	0.4203041576854134	0.0121
72	top	0.0183	0.0	5.0844980785412836e-05	0.19310694386290686	0.0001
72	bot	0.0181	0.0	5.0844980785412626e-05	0.19314957596805876	0.0001
73	top	0.0221	0.0	5.074241164426772e-05	0.1906577834016094	0.0003
73	bot	0.0217	0.0	4.7041130062944693e-05	0.192704729383518	0.0003
74	top	0.01	0.0	1.5669936381847558e-05	0.19789505837808288	0.0004
74	bot	0.0095	0.0	1.618597268770819e-05	0.1770562777854996	0.0004
75	top	0.0073	0.0	0.00030632707640434337	0.19533635503371846	0.0047
75	bot	0.0025	0.0	0.00017863509114554355	0.14825002806335633	0.0047
76	top	0.0119	0.0	5.17872731718809e-05	0.2639892574549175	0.0025
76	bot	0.0093	0.0	5.198677253370005e-05	0.25569887428501137	0.0025
77	top	0.0009	0.0	1.3248659627959016e-05	0.12089671318572245	0.0002
77	bot	0.0006	0.0	1.1473384563741056e-05	0.12157620619616243	0.0002
78	top	0.0047	0.0	2.6547975865962217e-06	0.04027928785129269	0.0001
78	bot	0.0045	0.0	2.6547975865968104e-06	0.040373155137898915	0.0001
79	top	0.0249	0.0	0.0007220948358604832	0.30663437462242205	0.0225
79	bot	0.0023	0.0	0.0006426476051670424	0.31776242405726	0.0225
80	top	0.0199	0.0	3.9643577638564544e-05	0.333973911956577	0.0001
80	bot	0.0197	0.0	3.964357763856462e-05	0.3343136026630788	0.0001
81	top	0.0079	0.0	0.00010660021731419865	0.10025046774059188	0.0063
81	bot	0.0015	0.0	0.00015311151913235342	0.12920411055603084	0.0063
82	top	0.0048	0.0	3.5796817571198303e-05	0.22038475284874748	0.0039
82	bot	0.0008	0.0	5.8775259880707115e-05	0.16847094755223788	0.0039
83	top	0.0068	0.0	0.00021835559161184756	0.4478085911416035	0.0004
83	bot	0.0063	0.0	0.00022457232872830714	0.44470885724852893	0.0004
84	top	0.0074	0.0	5.234460645191411e-05	0.10745669495574608	0.001
84	bot	0.0063	0.0	4.642609087601453e-05	0.1011139906871731	0.001
85	top	0.0179	0.0	0.0008384283623946902	0.41362591153789835	0.0111
85	bot	0.0067	0.0	0.000627016235253343	0.39269602191736575	0.0111
86	top	0.013	0.0	5.088175678590651e-05	0.29819234615891227	0.0005
86	bot	0.0124	0.0	5.1854977084201005e-05	0.30212088955590705	0.0005
87	top	0.0063	0.0	0.0004128332141433298	0.25480698399160717	0.0084
87	bot	-0.0022	0.0	0.00044754986666728817	0.3248675470671493	0.0084
88	top	0.0059	0.0	0.00020819387219121827	0.5189505719750986	0.0034
88	bot	0.0024	0.0	0.00019675478744369163	0.46559375613876286	0.0034
89	top	0.0071	0.0	0.00010303883015636811	0.11542247151941933	0.0065
89	bot	0.0005	0.0	0.0001950710064073675	0.12229215341490667	0.0065
90	top	0.004	0.0	9.560978285336944e-05	0.11398152151032992	0.003
90	bot	0.0009	0.0	8.325000921794767e-05	0.09639434213027202	0.003
91	top	0.0168	0.0	0.0001164301867518446	0.2810984911026985	0.0013
91	bot	0.0154	0.0	7.985127745341315e-05	0.32800329219684027	0.0013
92	top	0.0041	0.0	5.1618705991808294e-05	0.31494185460275087	0.0004
