number	strain	dE
83-1	0.0036	-0.00671782966572727678247998190976479304
92-0	0.0021	-0.0199546355429856682817548804812052307
90-0	0.0804	-0.0016013853307594363106352671739684801
98-0	0.0132	-6.72780150886087403640751121725045026e-05
97-0	0.0433	-0.0201798498393996805409145659166028044
97-1	0.1014	-0.0106447531055913970031113622749212211
105-0	0.0001	-0.000458265332778138803842002971984695389
103-0	0.0133	-0.0134385222364060890483950207790087892
106-0	0.0075	-0.00456953076016177639221007928946187159
104-0	0.0059	-0.0293273951200361716697185900530283319
104-1	0.02	-0.0223634039080825327743422403442407621
110-0	0.0223	-0.022455076849977126494551254135857649
109-0	0.0185	-0.00262991188353190712264287114387453668
110-1	0.027	-0.0104339403448561255018811220376319579
114-0	0.0199	-0.00176538887840083730783605075280819249
115-0	0.0099	-0.00148194674543049830774097672448340818
115-1	0.0036	-0.000636456829344350037884365399219216973
118-0	0.0143	-0.00758894207698340655910815351079747839
117-0	0.0108	-0.0187949370777084043768453016899531869
109-1	0.1424	-0.00756421190236084236009035234583799848
115-2	0.0451	-0.00539303213797178791721935534519210497
109-2	0.0636	-0.0214131765305895763982580870744473068
115-3	0.0372	-0.0153192168448275594930063387733727408
115-4	0.0028	-0.0244736663774394479902454795850161947
109-3	0.0053	-0.000631640505211902274707205297421555847
121-0	0.1277	-0.00263103384689082098594623589532914659
120-0	0.0388	-0.00449145976250182635980711304272840252
121-1	0.0026	-6.44218913284324266925856468221546352e-05
120-1	0.0209	-0.00146948905253482215437692809099165296
124-0	0.0051	-0.0145376832666135348543759575930155507
123-0	0.0176	-0.00659234955692619121241315081278535783
120-2	0.0254	-0.000423548959281991811107760624657590363
122-0	0.037	-0.0256233726613183324720611370902199345
129-0	0.0089	-0.000395392315331949026150299059840405593
123-1	0.0163	-0.0201465933812578674992682916351249321
123-2	0.0013	-0.000432134030586632427400592051150817686
127-0	0.0058	-0.00201882423854079232867663760669803208
130-0	0.0306	-0.0007909893070812592457143923409924855
127-1	0.0223	-0.00030388267126713052601811653488216805
123-3	0.0485	-7.09719494166299828619026377195576403e-05
127-2	0.0187	-0.0281357597756793712486273611260885446
132-0	0.0114	-0.00468808353236563042338605474495746802
135-0	0.0011	-0.000250731197530845272366902468665038603
129-1	0.0599	-0.0373025204872490459294949807530253692
134-0	0.0151	-0.00771542679129551135679762699345188537
132-1	0.003	-0.0219755393242949366828578684316574962
129-2	0.0394	-0.000133631833023730553549197720854217334
129-3	0.016	-0.0125979690571053036454025502858956304
137-0	0.0326	-0.00534989778217576706937410505909929212
136-0	0.0242	-1.13359974965499176813260936173794507e-06
129-4	0.0395	-0.000263597800110625288787839791066816026
137-1	0.0257	-0.000987571277786861962298550312371086489
138-0	0.0049	-0.00011333277567532167094594034807146681
140-0	0.0029	-0.0365117386673439432733398041538078244
143-0	0.0058	-0.00473825242824944937010873255695622503
141-0	0.0014	-0.00217066978399818951328627212382905908
146-0	0.0045	-0.00160002731171102689876096637425711651
141-1	0.0338	-0.00139487630142495120300783435254455028
145-0	0.0245	-0.00195163334222469515252160446095665509
154-0	0.0109	-0.00705760752429056361002516620603953339
155-0	0.0324	-0.0285271683874757597425491946139669404
155-1	0.0167	-0.018197078101753859041684452931599647
154-1	0.0223	-0.0192906683070613595375547315322316517
165-0	0.003	-0.00538478210074753997610210577261749601
167-0	0.0111	-0.0182023650215658238877353134540108841
166-0	0.0566	-0.0146581608710229793968656642413703324
168-0	0.016	-0.00194416815261384844161972090695758255
174-0	0.0104	-7.99768479067448280730176017827596512e-05
170-0	0.0004	-0.0575796006422608649173787933047851582
176-0	0.0306	-0.0012600506774055712392352168900485962
177-0	0.0678	-0.00659223567557485168791480406270378746
178-0	0.0492	-0.0150596522234736756111686408008552241
175-0	0.0404	-3.6097371842435238530305793809510573e-05
177-1	0.0019	-0.00429640063749124027012876632625017168
175-1	0.0398	-0.00144905076268144692607272674399745272
184-0	0.0044	-0.00163989498253976643739379276098948883
175-2	0.0132	-0.000762434768675846138603059868382752018
184-1	0.0289	-0.0518066894854940449116459604473648888
187-0	0.0058	-6.94808440321967045392211724543267903e-06
187-1	0.0225	-0.00151115453886950612856581702469006273
186-0	0.0133	-0.0205574446481940115997774738063072235
191-0	0.0478	-2.3149858051405527101270155899010243e-05
186-1	0.0854	-0.00447227975073390884634767445891167732
194-0	0.0257	-0.00407377844329215986081398411671777317
193-0	0.054	-0.000815480983614910106042009221667237092
197-0	0.0242	-0.00216120035367118373684195929591298851
195-0	0.0416	-0.00402313124325967505366594701808729484
197-1	0.0137	-0.00690795586352226092689554995757493605
199-0	0.0285	-0.00681162368239322857783049815366600915
