number	strain	dE
48-0	0.0209	-0.000762876784921577873752959654393338114
49-0	0.0037	-0.00563839442912273685649850070819546347
49-1	0.0167	-0.00797804829760307907538275123833251764
44-3	0.0508	-0.00210889207939150135798516099093336754
50-0	0.0097	-0.0413579405185953451766958604399095026
52-0	0.0027	-1.93315193762059576698618271398986663e-07
49-2	0.023	-0.020199149397096201943217595808968689
50-1	0.0184	-0.0151647828221078133216807006554182166
53-0	0.0056	-6.08354211027508346338202372589008838e-05
52-1	0.0156	-0.0112391059174565242456605750803399693
52-2	0.0002	-0.000565654043163857287902483617376730035
52-3	0.0065	-0.011423735321492440893645125360967542
58-0	0.0053	-0.0371214229953751789222448895919431223
53-1	0.0058	-0.0209593233421000603976117452850996866
57-0	0.0128	-0.0153725056451352554212812700404158095
58-1	0.0327	-0.00207212124819612789008963467904163246
57-1	0.0161	-0.000594075597198586510696175947331877514
59-0	0.0273	-0.00274241976665598893560524645477278428
59-1	0.0053	-0.0382110103400847907315225886999177572
62-0	0.0028	-0.0156631290311323224099621972506611753
59-2	0.0102	-0.00211340296576156815095898700443503859
62-1	0.0143	-0.00981678415165305209831354473855096089
64-0	0.0276	-0.000839589454325020958421730895838870384
67-0	0.0149	-0.000266956789001065035437115798598659922
70-0	0.0067	-0.00559887852566019336779029911810936505
68-0	0.015	-0.000130471721612487964622162113279565879
62-2	0.0252	-0.000119338725244097290349750338893511801
72-0	0.0143	-2.17339374989817851890712872236579353e-05
73-0	0.0075	-0.039956561033122615313241995790701386
72-1	0.0093	-0.00125932466287963433128542204269347472
77-0	0.0055	-0.0454404605341624165591946188972765039
74-0	0.0411	-0.00240106094151748244827283781248199069
78-0	0.0039	-0.000488530120454193738174042451168635148
74-1	0.0064	-0.00108593106298399225011944075255705498
72-2	0.0224	-0.0251457678511407144532958597577295162
77-1	0.0099	-0.00167528068748683518202536838181014093
77-2	0.0016	-0.000147429819599898367581278184808690275
85-0	0.008	-0.00022453243306562235233731199088376268
77-3	0.0273	-0.00446949223638274296644836121964850428
88-0	0.0352	-0.000529439160295062655291116829532663365
91-0	0.0165	-0.0119532152178897598134384770674844703
92-0	0.0081	-0.0112675949596828538925625222747222997
77-4	0.0235	-0.0193831836468388370655995954705669664
97-0	0.0062	-0.000391966432397659248788387702450157095
97-1	0.0011	-0.0540579280020092329193052535025535552
95-0	0.0122	-0.02849062348969076567650347660645312
99-0	0.009	-0.000158612049702225449453228876593363237
96-0	0.0229	-0.00306024193966741002530315019310029378
1-0	0.016	-0.000157609962166637803465005540113469634
1-1	0.0024	-4.38738020910548292053626069790320978e-05
105-0	0.0008	-0.00549028952919535276505542972981004768
101-0	0.0173	-0.00149916702981954013508700356942757029
107-0	0.0056	-0.00213367547235729037978380484955248133
100-0	0.0007	-0.0352389423309224775161732930880888163
108-0	0.0072	-0.000137553532863185697089265201873218077
111-0	0.0135	-0.000828651528692998656749737286535379171
110-0	0.0079	-0.00320802695027365604170371701232349261
112-0	0.0027	-0.00695099094654965092972937408510939454
117-0	0.0159	-0.000527329412587173653500043845049198561
112-1	0.0226	-0.00362256039383868597206395809132695603
113-0	0.0069	-0.0160939847616989506946603000556376171
118-0	0.0146	-0.0108569515094592541640872400727260929
119-0	0.0083	-0.000782222310573703644890991636016852902
121-0	0.0203	-0.00225353604774467750096698080744426257
125-0	0.0039	-0.0316712243378923654190889212044141913
130-0	0.0004	-1.17809673724646965382771094500735885e-06
128-0	0.0103	-0.000571558328527265027634051659310623708
128-1	0.0037	-0.00131813792975747498625978178930678372
135-0	0.019	-0.0156614675839221303492213890798485037
134-0	0.0056	-0.0633340561173134933510271921860000058
135-1	0.0041	-0.00345410745277569797471368344576383865
136-0	0.0033	-0.0518009892660762305302183797152221851
135-2	0.0018	-0.0020663433393742300002406195039456363
141-0	0.0064	-0.000430595513254959501462357110870032194
142-0	0.0052	-0.0241851305429224240408499606568536585
134-1	0.0143	-0.00012528837538071277529389338064823959
141-1	0.0277	-0.000244033268108522237557949825165885116
134-2	0.0034	-0.010348503528137644880676279394087627
143-0	0.011	-0.0127714211271538884511440171793203224
143-1	0.0456	-0.000960166820373718474155470133952896125
149-0	0.0124	-0.00863684642385574535865696977214785767
146-0	0.0033	-0.0177933148830475653104637685273020158
143-2	0.0071	-0.000175784621059608901719426308254474229
143-3	0.0074	-0.00613597671685372554395507223910205429
151-0	0.012	-1.37114302206450349246719142799925943e-05
152-0	0.0089	-0.0203616026224580090384203218187535387
149-1	0.0543	-0.0180286737569837856680429689616073966
152-1	0.0166	-0.0193757502753529913921686080083794044
152-2	0.0117	-4.5486202296867988952945577424555402e-05
160-0	0.0026	-3.0752590479890084256492644144729164e-06
166-0	0.0039	-0.0111177435155130083990462740507560994
168-0	0.0076	-0.000199933010709181280124328649639384496
162-0	0.014	-0.00618202113118166317369949611121837916
170-0	0.0061	-4.12355784167330781380759849087445702e-06
162-1	0.0174	-0.00460700547535663039385333741260622235
165-0	0.023	-2.17110856682822788445426983714134675e-05
170-1	0.0074	-0.00256949602683416761544065814653664192
166-1	0.0263	-0.00380163304850200649588231046880535552
170-2	0.0028	-0.0142000099795756408802553800411932409
162-2	0.0234	-1.18593248633716560928311639269512815e-06
170-3	0.0089	-0.00740965529655327065613754960170195238
162-3	0.0338	-0.00810367004712123199109276572477849706
177-0	0.0067	-0.00252800965509873149801069064793660486
178-0	0.0143	-0.0021609207861289691278974894624255967
179-0	0.0065	-0.0127639440306092167225052295193796194
162-4	0.011	-0.00441138690909218916230625451316085888
181-0	0.0109	-0.000824241810942679486326786489242901937
179-1	0.0036	-0.00362396608878833581897402414770607182
183-0	0.0026	-0.000390406269762638770229643504832837954
184-0	0.0032	-0.0256909783745097976647800923387118494
185-0	0.0115	-0.0065013005477328385295144371575558932
189-0	0.0039	-0.00143477717417931789524630037965301526
185-1	0.0196	-0.0131473072087433276631100967252317302
185-2	0.0019	-4.47486160435971830575112968028727537e-06
194-0	0.0063	-0.00142742198733777150536249078802309258
