number	strain	dE
118-1	0.0139	-0.0320774491787262689889142503349018964
116-1	0.2239	-0.00344210643470867532778522961049119417
110-2	0.0814	-0.00832815301091895820128459960978718248
118-2	0.036	-0.00994076000067199289883332194257019485
110-3	0.0095	-0.00129068895196365029423769469924396653
110-4	0.0044	-5.95916440904760942640331788441774673e-05
122-0	0.0251	-0.00479654600401807178673268035623823952
123-0	0.1154	-0.009805459357250600877199075534057704
124-0	0.0585	-0.000495587128348216207664439400633401762
123-1	0.0123	-0.00134142916723716606826249521962078015
126-0	0.0109	-0.00275536244091630245030876342793712703
125-0	0.078	-0.00379549687219420144369808541426531004
123-2	0.0877	-0.000602680345186992503141448873790254401
124-1	0.0489	-0.00369069226202740866523381982562480773
124-2	0.0721	-0.006162059113975232705963192019876146
125-1	0.0267	-0.00824065417698408185582170121467246236
124-3	0.0776	-0.0178123861316791668517293283637117055
132-0	0.0707	-0.00810750809467944345437317438294637653
134-0	0.0099	-0.000116771451801078765950342152224347587
133-0	0.0698	-0.000531633848235607499384848327756349312
142-0	0.0103	-0.000662438059627315458272461092044023637
141-0	0.0446	-0.00207324820430220309027952639018334353
136-0	0.0579	-0.0150704181516455125694251258689693982
142-1	0.0664	-0.000292352406700242113971796976852978525
142-2	0.004	-0.0105051737967329511622721476560002523
138-0	0.0919	-0.00783902801969291837516128288730175206
138-1	0.0624	-0.00833476030093839166528023613327425855
144-0	0.1123	-0.00644219542792672310909855963897382772
138-2	0.0347	-0.0170416094610947829701182434526865845
138-3	0.0111	-0.0045384456353068763126533064219744158
149-0	0.0401	-0.0141141426035179668532519357428537444
148-0	0.044	-0.0110055500207865091303015764637926968
151-0	0.0524	-0.0145288636278080987661089405848595002
148-1	0.0072	-0.00445300455898055346396740593257323977
151-1	0.0072	-0.000359755562573682849538689615592004434
153-0	0.0009	-0.00640023935045747804027534174215627
152-0	0.0811	-0.0288605396540653403168498127962334745
151-2	0.0588	-0.00851200324125167236590131818672977702
149-1	0.2701	-0.00437893347576206640526544562652712307
152-1	0.0039	-0.0233892696389262315374596403248535643
151-3	0.0108	-0.000443945754549370884105824393354462564
155-0	0.0903	-0.0167444410568254300657410326647037568
151-4	0.0333	-0.00106826187620404721561442190407060206
151-5	0.0273	-0.0178517378516212408272593836945806605
160-0	0.0957	-0.00793652883828054319397609375451525095
161-0	0.0406	-0.00507854693156613263810340909591117331
162-0	0.0468	-0.0059803402696661820684535216320016772
165-0	0.0111	-0.011296028144893410425469147508535137
161-1	0.0976	-0.0310421268371844607311702109766884606
168-0	0.0076	-0.00334076147709599737709956831008385768
173-0	0.0081	-0.0161862733803742177656738611216178728
173-1	0.0215	-0.0143124981356117540350230086811511254
161-2	0.2659	-0.00637094952196304192390337117859051432
178-0	0.0507	-0.00259375360786810685258769682912158437
177-0	0.1231	-0.000731940577222011367792532740699851733
177-1	0.0494	-0.00215983122221826171575278238976855277
183-0	0.1026	-0.00172926520092105596312540297499997318
187-0	0.0324	-0.00550285322748145685247825699581155133
188-0	0.1683	-0.00941100286557400729708923830072280046
183-1	0.0073	-0.0328715683030872834144283407908928318
191-0	0.0922	-0.00212768041327182230765971499467811627
199-0	0.0383	-0.00424610765872268197877562718702848211
190-0	0.1923	-0.0330376050305250741267642654499571694
190-1	0.0491	-0.0183283184247855199323108022764233288
190-2	0.1073	-0.010755220704389717013219912448657973
190-3	0.1342	-0.00353329378043058291735377771359894749
