number	strain	dE
71-2	0.0091	-0.0118259581497346315893498357328392676
83-0	0.011	-0.000327772110631083768635840922681058168
85-0	0.0036	-0.00161246974485892991022070853041358954
81-0	0.0071	-6.831823195627793392810923905477442e-05
85-1	0.0089	-0.000669144957478247501361032723242613293
89-0	0.0013	-0.000966379055367853542048587787575015673
91-0	0.0013	-0.000682553899470147652697466124970597864
85-2	0.0074	-6.14365172266584864910884103574286859e-05
90-0	0.0139	-0.00601084741588293158175598530250736356
91-1	0.0139	-0.00183431101077924816780947220256656576
91-2	0.0037	-0.00790514510883576409323653602872972781
90-1	0.005	-0.000130662206001797767294839957841688384
85-3	0.0009	-0.000470156547419079894672064487277709889
93-0	0.0074	-0.000512979328652034445561744631680730359
85-4	0.0181	-0.000199619799374858967002883291419718546
94-0	0.0203	-8.46730796061735022960311636079658611e-05
99-0	0.0058	-0.000184054530620842052643596209683296549
97-0	0.0112	-0.0020824021370933687822070342982032265
98-0	0.0002	-0.000268596884422429791674729797457204001
98-1	0.0024	-0.0311620641173040045146944745406946102
98-2	0.0352	-0.0159060412328620161236478565131814488
98-3	0.0157	-0.000159552079264067127639952032653701906
102-0	0.0057	-0.00393166036086726411653673994394927144
105-0	0.0164	-0.0146531162085880910270808542942439733
109-0	0.001	-7.81854705751580888476523542772618653e-05
108-0	0.0064	-0.00709863073215561113649428759558663542
107-0	0.0166	-0.000415477447990470395946989381755177943
108-1	0.0063	-0.000108085287532961116122664440624120483
105-1	0.0156	-0.000356204344376930890053789457262266227
110-0	0.0065	-0.000833669276126013280629407011259919616
105-2	0.011	-0.0107371828011005201968554062595611239
105-3	0.001	-0.0423520546775150625528498762590906428
110-1	0.0153	-0.00396562164317413984929360578012975713
112-0	0.0233	-0.00524387170786897201921020071744477146
105-4	0.0108	-7.29135969954313692283103503729833975e-05
118-0	0.0072	-0.0171016953298624042558411002902659798
110-2	0.0072	-0.0266772579073308563154973260933096184
118-1	0.0086	-0.000667951597296820317414552782163809145
125-0	0.0139	-0.00264599189771505089980976094309889893
124-0	0.0055	-0.011225315801423379000393165696666581
128-0	0.0005	-0.000336553505385263556032045476130883019
131-0	0.0068	-0.00957844160826941174608679796242595802
125-1	0.0131	-0.00741484678147443037500119394764414918
129-0	0.0071	-0.00191051666730340399420608567154439193
132-0	0.0025	-0.000224193712513789526853943327159949594
129-1	0.009	-0.00398733826337338227064067242307692868
133-0	0.0009	-0.00805347695819909264067880665881031072
131-1	0.0051	-0.0764917971397391424716758354724223863
129-2	0.0069	-5.83806985417693338740088481218556233e-08
131-2	0.0053	-0.0263367478254402153449288344413159764
135-0	0.0048	-0.028157645816968292070103695279339123
129-3	0.0152	-0.000101934738949692116704972274924493558
131-3	0.0073	-0.0033355033338340809813018436316134932
136-0	0.0046	-0.000483999537403855971881153596482637353
131-4	0.0129	-4.97445318151460110518955782748786867e-05
137-0	0.0031	-0.0143356678335047858331564707855854311
135-1	0.0141	-0.0262265705696312917988179344707877541
138-0	0.0136	-0.00120982785366410620500760570869013759
144-0	0.0075	-0.000149614181383729480978239241056775316
145-0	0.0073	-0.000557882167040224523777403688986171993
147-0	0.0062	-5.03983727229601856636003134154585053e-06
142-0	0.0091	-0.0270382775116551211206705329734388164
144-1	0.007	-0.00166586458963524935862493971669885227
142-1	0.0073	-0.00213896165121907497433035663819560063
144-2	0.0019	-6.22842488566053638975908002885443979e-07
148-0	0.004	-0.0105993225261192505490938010141746652
149-0	0.0017	-0.000927466719673882612104108958142530917
142-2	0.0181	-0.000686027962274336737280624597504872907
151-0	0.0041	-0.0314533272200467354981105677675829078
149-1	0.0171	-5.2208106014044463967418670271604451e-05
142-3	0.0097	-0.00405490939130588118462176906684002337
154-0	0.0058	-0.000706963047039670206201772467267131752
149-2	0.0186	-0.00228054850358453932229067076482216263
162-0	0.004	-0.000116693230370191896501652034667425042
162-1	0.0025	-0.0113701409199251214792288346452360542
164-0	0.0014	-0.0123014228767294943385451994297397955
165-0	0.02	-0.00661662847850847799456649643604293077
168-0	0.0211	-0.000447272545644147581473119183075346188
162-2	0.0042	-0.00308461714756790946686614055097369364
168-1	0.0048	-0.00117456919107602695113578543998786252
171-0	0.0013	-6.15434100993127177193717038415415041e-05
169-0	0.0187	-5.857536553260667939881217702949827e-05
171-1	0.005	-0.0237384493652186126424251415914770406
170-0	0.0049	-2.07127050605924288525689661866322722e-06
170-1	0.0029	-6.68292890847070329852558045527974257e-05
168-2	0.0057	-0.0170025699942499876441733623180749357
171-2	0.0023	-0.00030885147376451735623936219647697533
170-2	0.0043	-0.013783366983038572706974239932483459
168-3	0.0	-0.000129607534331080425583212983006641865
169-1	0.009	-0.0169638828257396758603968710000764665
171-3	0.0228	-0.0024967760635190885448347030559720371
170-3	0.0217	-0.000338862226190671670662460331310143661
169-2	0.0	-0.00849365416399308560422279790172144642
170-4	0.0102	-0.0170470880915780577024591911435385904
173-0	0.024	-0.00108958992270403137028479868542202189
168-4	0.0199	-0.0387215572676502827271326082493228839
169-3	0.0098	-0.0423490472882815535534111549850450627
169-4	0.0011	-0.00477586544945571172847717784863629458
168-5	0.0039	-0.00126450692248616958413874146859440159
175-0	0.0069	-0.000385978837825251707339950871657478932
168-6	0.0044	-0.000668849150387222908548870469830741904
168-7	0.0008	-0.000505660834166807033053560180324802219
173-1	0.0089	-0.00813987026502436020437520747018759525
177-0	0.0025	-0.000765670547033484382797056240866496327
179-0	0.0118	-0.00543128918228088363090620301878848821
181-0	0.0028	-0.000706559601562158742845649461540948841
182-0	0.0025	-0.000217244057248129058494720927600010943
184-0	0.0056	-0.000149710530627147887963982815280651007
179-1	0.005	-0.000387223942488779301498412006687248712
184-1	0.0054	-0.000108124615972236958622426105780724109
184-2	0.001	-0.000275699286177077060803741149397814961
195-0	0.0035	-1.35815283147126864853374885795841023e-05
187-0	0.0079	-0.0267609614475072664783120920287384152
190-0	0.0025	-0.0117965336084200003665673708904093902
194-0	0.0085	-0.000656727782426195962786301548452389207
187-1	0.0085	-0.00344535577191695745664221128810426675
194-1	0.0129	-0.00384728682992613146224105440639981467
187-2	0.0164	-0.00045219222524445262428357552723615695
197-0	0.0047	-3.85639389148759220206634442542433529e-06
198-0	0.0096	-0.00316341622211497607910089026703843207
199-0	0.0021	-1.49567203960987864678311477221839581e-06
199-1	0.0013	-0.00383930908466045480253432375104112762
199-2	0.0099	-2.11828923063732385395502965940817004e-06
187-3	0.0337	-0.00810633018844537147682466730861609908
