number	strain	dE
150-1	0.0041	-0.00105471084504784755084569086214081814
155-0	0.0114	-0.0181004099846838346865652793634016485
150-2	0.0394	-0.00498536979828957811406508772759627606
150-3	0.0402	-0.00161587916545231893069021698625532776
149-1	0.0879	-0.00434823427164882063216168911837990797
157-0	0.0055	-0.00650374614148728700135837246896677725
160-0	0.0297	-0.00516849124827193575073023846761692483
159-0	0.0562	-0.00434064180067239641721069058417547321
161-0	0.1055	-0.00187984106136621293600811401582807564
157-1	0.0244	-0.000238612751852613501856205942974717848
162-0	0.0532	-0.0269481838493183273994787702603543458
167-0	0.0702	-7.65919220132562063347675979799985059e-05
170-0	0.038	-2.0399918009482551744863043774082729e-05
172-0	0.0517	-0.00105600123932475481229679692077036947
170-1	0.0001	-0.00265672638797722191139820345741780234
173-0	0.0777	-0.0291925259354930641280924716990356825
173-1	0.0008	-0.037670580897598114936927813041810303
176-0	0.049	-0.00152365508864685324381647510902945629
179-0	0.0182	-0.000867032049260607154362049605852444427
173-2	0.026	-0.00948902768608291522350298021213600713
173-3	0.0014	-0.0015111443818986312662029998177872322
181-0	0.0394	-0.0110830378023743550961066584499492052
184-0	0.0008	-0.0123221635020117019759247541969558551
180-0	0.0357	-0.00357350288166789024873308607987904506
181-1	0.0411	-0.00829709818211484064008674116067609322
184-1	0.0942	-0.0223751256554008670903059078654154013
185-0	0.0531	-0.0059798725772360525657445560043916665
181-2	0.0661	-0.015844221330726703365266163272246754
190-0	0.0225	-0.0177142523496937715596666039700472464
193-0	0.0013	-8.91304056113810918616622946098589834e-05
191-0	0.0235	-0.00787057396776909542747657255437922948
190-1	0.0874	-0.00319553393553506244109223108692375824
196-0	0.0143	-0.000634497747610710267424525531239992636
195-0	0.0394	-0.00921551690950825643367580777163696112
199-0	0.0163	-0.00152250038070575830459166304241542576
199-1	0.013	-0.00748676151278950396257198570954316947
