number	strain	dE
120-0	0.0061	-0.0102940560352607664005653562140224843
125-0	0.0001	-0.0236593366919490115368411315211333287
120-1	0.0021	-0.00210769205034193786144367047113697852
123-0	0.0084	-0.0105871005969433693654358805710707148
126-0	0.0045	-0.019274322021788340615023859802283661
127-0	0.0094	-3.33516526560659202887440236254818779e-05
129-0	0.003	-0.00383590155460233991312458736431507205
131-0	0.0	-0.00872173781679339782668199856536675698
131-1	0.0029	-0.0121174914322993671434104914080391844
129-1	0.0045	-0.0044845254281095875677743382514179519
133-0	0.003	-9.71249486150534095753383271252733591e-05
133-1	0.0037	-0.000501359415379351512035245597950612558
136-0	0.0028	-0.000100963862967076393809538439809316437
136-1	0.0053	-0.000634113301023702752889754976450961261
137-0	0.0099	-7.30260907446846344411316772097497077e-05
142-0	0.0002	-7.30668526577095184435518653835859685e-05
141-0	0.007	-0.000135235894094343188658487608211398195
143-0	0.0049	-0.00244971666770197177482880635322029534
143-1	0.0003	-6.61857604836212086156399915689109012e-06
146-0	0.0009	-5.87712671662516714551428388953065869e-05
144-0	0.0031	-1.29928380336200179248466526204442436e-05
145-0	0.0048	-0.00815026658606228321870490107889524826
146-1	0.004	-0.037479299231027211725146360242100141
150-0	0.0041	-0.00278457722167428915431420054762129053
152-0	0.0039	-1.5788092236212862223176014109436103e-05
154-0	0.0083	-0.000505108251016491900522032983089418991
155-0	0.0072	-0.00553144742296932388334946948820260779
149-0	0.0068	-0.000351151696361017511184109476624229201
152-1	0.0032	-0.0686782642224466753881697072925801124
159-0	0.0033	-0.0917053430927383486722330310389987103
158-0	0.0013	-0.000549196916042239516259600247776820246
157-0	0.003	-0.00806720663437429254070116706564375215
162-0	0.0085	-0.00642929929530374322207025280815850912
159-1	0.0038	-0.030677246997632727950303117033016857
176-0	0.0047	-0.00660088145236972038845498296755825247
173-0	0.0035	-0.055078621567614256278636110661039321
175-0	0.0042	-0.0234995274160557406688401928167899232
175-1	0.0019	-0.00191517688785595055446065030413439746
173-1	0.0047	-0.000265100619544014079294707233135269846
176-1	0.0086	-0.00188140671462410596654767244231638115
180-0	0.0005	-0.000326483255020797103214202287526896189
173-2	0.0047	-0.0135258248905476581375915570465573851
179-0	0.0026	-0.000576771070300920344201731308829311222
176-2	0.0113	-0.00103193907418489444191273082888119406
183-0	0.0001	-0.00997050751292272244251299799259619177
173-3	0.0057	-0.00051351789207545117130272007389903289
187-0	0.0007	-0.00836778324807542405875105008042331366
186-0	0.0083	-0.000890064116774121319875799444233432675
173-4	0.0012	-0.029192989687650237982909350213077998
189-0	0.0045	-0.00124660179330599035907821730031971759
194-0	0.0002	-0.000679721862244616689440080680767218969
197-0	0.0017	-0.0120273010905763608978525107346522163
197-1	0.0056	-0.0083982522741710037348000605038460422
